"milepost","visibility","direction","crashesperthousandhours"
299,2,North,22.2222244444444444
299,6,North,6.4935071428571429
299,9,North,1.0231487530374728
299.5,7,North,5.2910058201058201
299.5,9,North,2.5578718634096432
300,9,North,0.76736156797544443023
300.5,3,North,14.7058838235294118
300.5,5,North,8.1967221311475410
300.5,7,North,5.2910058201058201
300.5,9,North,5.4994244916229697
301,7,North,5.2910058201058201
301,9,North,0.63946797544443023405
301.5,8,North,4.0160646586345382
301.5,9,North,0.76736156797544443023
302,4,North,10.7526892473118280
302,6,North,6.4935071428571429
302,8,North,4.0160646586345382
302,9,North,3.0694462335337000
302.5,8,North,12.0481931726907631
302.5,9,North,1.9184039007545722
303,4,North,10.7526892473118280
303,9,North,1.0231487530374728
303.5,9,North,1.4068295306305154
304,4,North,10.7526892473118280
304,9,North,1.5347231231615296
304.5,5,North,16.3934434426229508
304.5,8,North,4.0160646586345382
304.5,9,North,0.63946797544443023405
305,8,North,8.0321289156626506
305,9,North,1.7905103082235580
305.5,2,North,22.2222244444444444
305.5,7,North,5.2910058201058201
305.5,8,North,4.0160646586345382
305.5,9,North,1.0231487530374728
306,9,North,0.89525516050645862642
306.5,5,North,8.1967221311475410
306.5,6,North,6.4935071428571429
306.5,9,North,2.0462974932855864
307,3,North,14.7058838235294118
307,6,North,6.4935071428571429
307,9,North,1.0231487530374728
307.5,4,North,10.7526892473118280
307.5,9,North,1.5347231231615296
308,7,North,10.5820111111111111
308,8,North,8.0321289156626506
308,9,North,4.6041693439058703
299.5,5,South,8.1967221311475410
299.5,9,South,1.9184039007545722
300,6,South,6.4935071428571429
300,7,South,5.2910058201058201
300,8,South,4.0160646586345382
300,9,South,1.9184039007545722
300.5,3,South,14.7058838235294118
300.5,6,South,6.4935071428571429
300.5,8,South,4.0160646586345382
300.5,9,South,4.8599565289678987
301,2,South,22.2222244444444444
301,3,South,14.7058838235294118
301,9,South,2.1741910858166006
301.5,4,South,10.7526892473118280
301.5,6,South,12.9870136363636364
301.5,7,South,5.2910058201058201
301.5,8,South,8.0321289156626506
301.5,9,South,2.9415526410026858
302,4,South,10.7526892473118280
302,5,South,8.1967221311475410
302,6,South,12.9870136363636364
302,9,South,4.8599565289678987
302.5,2,South,22.2222244444444444
302.5,4,South,10.7526892473118280
302.5,6,South,6.4935071428571429
302.5,7,South,5.2910058201058201
302.5,9,South,6.6504668244020975
303,7,South,5.2910058201058201
303,9,South,0.12789360532037344929
303.5,1,South,125.0000062500000000
303.5,3,South,14.7058838235294118
303.5,7,South,15.8730164021164021
303.5,8,South,4.0160646586345382
303.5,9,South,2.1741910858166006
304,4,South,10.7526892473118280
304,5,South,8.1967221311475410
304,9,South,2.4299782708786290
304.5,6,South,6.4935071428571429
304.5,9,South,2.3020846783476148
305,5,South,8.1967221311475410
305,6,South,12.9870136363636364
305,7,South,5.2910058201058201
305,8,South,4.0160646586345382
305,9,South,3.7089141961887709
305.5,2,South,22.2222244444444444
305.5,4,South,10.7526892473118280
305.5,8,South,4.0160646586345382
305.5,9,South,1.4068295306305154
306,5,South,8.1967221311475410
306,8,South,4.0160646586345382
306,9,South,0.38368079038240184167
307,1,South,62.5000062500000000
307,9,South,1.5347231231615296
307.5,5,South,8.1967221311475410
307.5,6,South,12.9870136363636364
307.5,7,South,5.2910058201058201
307.5,9,South,1.5347231231615296
308,2,South,22.2222244444444444
308,4,South,10.7526892473118280
308,5,South,16.3934434426229508
308,9,South,3.0694462335337000
