"milepost","weather1","direction","crashesperthousandhours"
299,Clear,North,0.95328884655227200508
299,Light Rain,North,3.3670033671717172
299,Mostly Cloudy,North,2.7247956404178020
299,Overcast,North,0.42535091454700127605
299,Partly Cloudy,North,1.8248175184306569
299.5,Clear,North,3.4953924372735939
299.5,Drizzle,North,3.2894736845394737
299.5,Light Rain,North,1.6835016836700337
299.5,Overcast,North,2.1267545725648660
299.5,Partly Cloudy,North,1.8248175184306569
299.5,Possible Drizzle,North,3.1347962384012539
300,Clear,North,1.2710517953924372
300,Overcast,North,0.42535091454700127605
300,Possible Drizzle,North,1.5673981192789969
300.5,Clear,North,6.0374960279949158
300.5,Drizzle,North,9.8684210529605263
300.5,Light Rain,North,8.4175084176767677
300.5,Mostly Cloudy,North,5.4495912807447775
300.5,Overcast,North,3.4028073160782646
300.5,Partly Cloudy,North,1.8248175184306569
300.5,Possible Drizzle,North,6.2695924766457680
301,Clear,North,0.31776294887194153162
301,Light Rain,North,3.3670033671717172
301,Mostly Cloudy,North,0.90826521353315168029
301,Overcast,North,0.85070182905146746066
301.5,Clear,North,0.31776294887194153162
301.5,Drizzle,North,3.2894736845394737
301.5,Light Rain,North,3.3670033671717172
301.5,Mostly Cloudy,North,0.90826521353315168029
301.5,Overcast,North,0.42535091454700127605
301.5,Partly Cloudy,North,1.8248175184306569
302,Clear,North,4.4486812837940896
302,Drizzle,North,6.5789473687500000
302,Mostly Cloudy,North,2.7247956404178020
302,Overcast,North,2.1267545725648660
302,Partly Cloudy,North,3.6496350366788321
302,Possible Light Rain,North,62.5000000062500000
302.5,Clear,North,2.2243406419129330
302.5,Mostly Cloudy,North,2.7247956404178020
302.5,Overcast,North,2.5521054870693322
302.5,Possible Drizzle,North,3.1347962384012539
303,Clear,North,0.95328884655227200508
303,Light Rain,North,3.3670033671717172
303,Mostly Cloudy,North,0.90826521353315168029
303,Overcast,North,1.2760527435559336
303.5,Clear,North,1.9065776930727677
303.5,Drizzle,North,3.2894736845394737
303.5,Mostly Cloudy,North,0.90826521353315168029
303.5,Overcast,North,1.2760527435559336
304,Clear,North,2.2243406419129330
304,Drizzle,North,3.2894736845394737
304,Overcast,North,1.7014036580603998
304,Possible Drizzle,North,1.5673981192789969
304.5,Clear,North,0.63552589771210676835
304.5,Drizzle,North,3.2894736845394737
304.5,Light Rain,North,3.3670033671717172
304.5,Overcast,North,0.85070182905146746066
304.5,Possible Drizzle,North,1.5673981192789969
305,Clear,North,2.2243406419129330
305,Light Rain,North,3.3670033671717172
305,Mostly Cloudy,North,2.7247956404178020
305,Overcast,North,0.85070182905146746066
305,Partly Cloudy,North,3.6496350366788321
305.5,Clear,North,1.5888147442326025
305.5,Light Rain,North,1.6835016836700337
305.5,Mostly Cloudy,North,2.7247956404178020
305.5,Overcast,North,0.42535091454700127605
305.5,Possible Light Rain,North,62.5000000062500000
306,Clear,North,1.2710517953924372
306,Light Rain,North,1.6835016836700337
306,Partly Cloudy,North,1.8248175184306569
306,Possible Drizzle,North,1.5673981192789969
306.5,Clear,North,3.8131553861137591
306.5,Drizzle,North,3.2894736845394737
306.5,Light Rain,North,1.6835016836700337
306.5,Mostly Cloudy,North,0.90826521353315168029
306.5,Overcast,North,1.2760527435559336
307,Clear,North,1.5888147442326025
307,Light Rain,North,1.6835016836700337
307,Mostly Cloudy,North,0.90826521353315168029
307,Partly Cloudy,North,1.8248175184306569
307,Possible Drizzle,North,1.5673981192789969
307,Rain,North,29.4117647088235294
307.5,Clear,North,2.8598665395932634
307.5,Light Rain,North,1.6835016836700337
307.5,Mostly Cloudy,North,0.90826521353315168029
307.5,Overcast,North,0.85070182905146746066
308,Clear,North,6.0374960279949158
308,Drizzle,North,3.2894736845394737
308,Light Rain,North,5.0505050506734007
308,Mostly Cloudy,North,5.4495912807447775
308,Overcast,North,3.4028073160782646
308,Partly Cloudy,North,3.6496350366788321
308,Possible Drizzle,North,1.5673981192789969
299.5,Clear,South,0.95328884655227200508
299.5,Light Rain,South,3.3670033671717172
299.5,Mostly Cloudy,South,4.5413260673024523
299.5,Overcast,South,1.7014036580603998
299.5,Partly Cloudy,South,1.8248175184306569
299.5,Rain,South,29.4117647088235294
300,Clear,South,2.8598665395932634
300,Light Rain,South,1.6835016836700337
300,Mostly Cloudy,South,1.8165304269754768
300,Overcast,South,2.5521054870693322
300.5,Clear,South,5.0842071814744201
300.5,Drizzle,South,6.5789473687500000
300.5,Light Rain,South,3.3670033671717172
300.5,Mostly Cloudy,South,7.2661217076294278
300.5,Overcast,South,3.8281582305827308
300.5,Partly Cloudy,South,3.6496350366788321
300.5,Possible Drizzle,South,3.1347962384012539
301,Clear,South,1.9065776930727677
301,Light Rain,South,1.6835016836700337
301,Mostly Cloudy,South,2.7247956404178020
301,Overcast,South,2.1267545725648660
301,Partly Cloudy,South,3.6496350366788321
301,Possible Drizzle,South,3.1347962384012539
301.5,Clear,South,2.2243406419129330
301.5,Drizzle,South,6.5789473687500000
301.5,Light Rain,South,3.3670033671717172
301.5,Mostly Cloudy,South,1.8165304269754768
301.5,Overcast,South,2.9774564015737984
301.5,Partly Cloudy,South,5.4744525549270073
301.5,Possible Drizzle,South,6.2695924766457680
301.5,Possible Light Sleet,South,1000.0000001000000000
301.5,Rain,South,29.4117647088235294
302,Clear,South,5.0842071814744201
302,Drizzle,South,6.5789473687500000
302,Light Rain,South,6.7340067341750842
302,Mostly Cloudy,South,8.1743869210717530
302,Overcast,South,4.2535091450871969
302,Possible Drizzle,South,1.5673981192789969
302.5,Clear,South,5.7197330791547506
302.5,Drizzle,South,6.5789473687500000
302.5,Light Rain,South,11.7845117846801347
302.5,Mostly Cloudy,South,9.0826521345140781
302.5,Overcast,South,5.1042109740961293
302.5,Partly Cloudy,South,3.6496350366788321
302.5,Possible Drizzle,South,7.8369905957680251
303,Clear,South,0.31776294887194153162
303,Possible Drizzle,South,1.5673981192789969
303.5,Clear,South,1.5888147442326025
303.5,Foggy,South,46.5116279093023256
303.5,Light Rain,South,3.3670033671717172
303.5,Mostly Cloudy,South,4.5413260673024523
303.5,Overcast,South,2.5521054870693322
303.5,Partly Cloudy,South,3.6496350366788321
303.5,Possible Drizzle,South,3.1347962384012539
304,Clear,South,2.8598665395932634
304,Drizzle,South,3.2894736845394737
304,Light Rain,South,1.6835016836700337
304,Mostly Cloudy,South,1.8165304269754768
304,Overcast,South,1.7014036580603998
304,Partly Cloudy,South,1.8248175184306569
304,Possible Drizzle,South,3.1347962384012539
304,Possible Light Rain,South,62.5000000062500000
304.5,Clear,South,1.9065776930727677
304.5,Light Rain,South,3.3670033671717172
304.5,Mostly Cloudy,South,1.8165304269754768
304.5,Overcast,South,3.4028073160782646
304.5,Possible Drizzle,South,1.5673981192789969
305,Clear,South,2.2243406419129330
305,Drizzle,South,3.2894736845394737
305,Light Rain,South,6.7340067341750842
305,Mostly Cloudy,South,11.8074477748410536
305,Overcast,South,2.5521054870693322
305,Partly Cloudy,South,3.6496350366788321
305,Possible Drizzle,South,1.5673981192789969
305.5,Clear,South,0.95328884655227200508
305.5,Drizzle,South,3.2894736845394737
305.5,Light Rain,South,3.3670033671717172
305.5,Mostly Cloudy,South,3.6330608538601272
305.5,Overcast,South,0.85070182905146746066
305.5,Partly Cloudy,South,1.8248175184306569
305.5,Possible Drizzle,South,1.5673981192789969
306,Clear,South,0.95328884655227200508
306,Light Rain,South,3.3670033671717172
307,Clear,South,1.2710517953924372
307,Foggy,South,23.2558139558139535
307,Light Rain,South,1.6835016836700337
307,Mostly Cloudy,South,4.5413260673024523
307,Overcast,South,0.85070182905146746066
307.5,Clear,South,1.5888147442326025
307.5,Light Rain,South,5.0505050506734007
307.5,Overcast,South,2.1267545725648660
307.5,Partly Cloudy,South,1.8248175184306569
307.5,Possible Drizzle,South,1.5673981192789969
307.5,Rain,South,29.4117647088235294
308,Clear,South,4.4486812837940896
308,Light Rain,South,3.3670033671717172
308,Mostly Cloudy,South,2.7247956404178020
308,Overcast,South,1.7014036580603998
308,Partly Cloudy,South,1.8248175184306569
308,Possible Drizzle,South,6.2695924766457680
