crashid,date,hour,day,city_section,highwayid,milepost,lat,lon,road_type,road_desc,street_name,isect_num,lane_quantity,crash_severity,volume,speed,weather1,weather2,precip,temp,wind,cloud,visibility,road_cond,light_cond
1656674,2016-01-08,10:00:00,FRIDAY,Portland N,2,302.5,45.537608,-122.668858,MN,STRGHT,PACIFIC HY I-5,9433,6,INJ,241.00,29.00,Mostly Cloudy,CLR,0,37.69,1.76,0.83,8,DRY,DAY
1656773,2016-01-09,17:00:00,SATURDAY,Portland SW,2,299.5,45.497114,-122.673275,MN,STRGHT,PACIFIC HY I-5,9492,6,INJ,1112.00,61.33,Overcast,CLR,0,43.49,4.42,1,9,DRY,DARK
1656988,2016-01-12,08:00:00,TUESDAY,Portland N,2,308,45.610944,-122.679308,MN,STRGHT,PACIFIC HY I-5,9456,6,INJ,1380.00,28.00,Light Rain,RAIN,0.0188,42.13,1.98,1,8,WET,DAY
1657024,2016-01-12,13:00:00,TUESDAY,Portland Bridges,2,300.5,45.507175,-122.670478,MN,BRIDGE,MARQUAM BRIDGE,9453,4,INJ,1179.00,22.00,Light Rain,RAIN,0.0525,42.22,4.1,1,3,WET,DAY
1657370,2016-01-15,16:00:00,FRIDAY,Portland N,2,303.5,45.552233,-122.678525,MN,STRGHT,PACIFIC HY I-5,9428,8,INJ,1264.00,39.33,Overcast,CLR,0,48.25,0.66,1,9,DRY,DAY
1657920,2016-01-28,16:00:00,THURSDAY,Portland Bridges,2,300.5,45.507347,-122.670181,MN,BRIDGE,MARQUAM BRIDGE,9452,4,INJ,1354.00,18.33,Clear,CLR,0,56.68,4.03,0.27,9,DRY,DAY
1658141,2016-01-19,14:00:00,TUESDAY,Portland SW,2,299.5,45.497408,-122.673261,MN,STRGHT,NB EX MARQUAM BR,323,6,INJ,1266.00,36.00,Light Rain,RAIN,0.0384,44.22,1.19,1,7,WET,DAY
1658839,2016-01-30,18:00:00,SATURDAY,Portland Bridges,2,300.5,45.507261,-122.670328,MN,BRIDGE,MARQUAM BRIDGE,9551,4,INJ,1049.00,47.33,Mostly Cloudy,RAIN,0.0022,41.17,2.01,0.85,9,WET,DARK
1659160,2016-02-08,17:00:00,MONDAY,Portland N,2,302.5,45.535858,-122.667408,MN,STRGHT,PACIFIC HY I-5,9433,6,INJ,208.00,14.00,Clear,CLR,0,60.45,5.25,0,9,DRY,DAY
1659234,2016-02-09,00:00:00,TUESDAY,Portland N,2,306,45.585122,-122.679583,MN,STRGHT,PACIFIC HY I-5,9413,4,INJ,79.00,62.00,Clear,UNK,0,54.33,2.92,0,9,DRY,DAY
1659389,2016-02-10,19:00:00,WEDNESDAY,Portland SW,2,299.5,45.497408,-122.673261,MN,STRGHT,PACIFIC HY I-5,9492,6,INJ,588.00,63.00,Overcast,CLR,0,58.29,2.92,1,9,DRY,DLIT
