crashid,date,hour,day,city_section,highwayid,milepost,lat,lon,road_type,road_desc,street_name,isect_num,lane_quantity,vehicleid,partic_type,age,gender,vehicle_type,striking_vehicle,collision_type,crash_severity,injury_severity,vehicle_movement,vehicle_direction,volume,speed,weather1,weather2,precip,temp,wind,cloud,visibility,road_cond,light_cond,speeding,alcohol,drug
1656674,2016-01-08,10:00:00,FRIDAY,Portland N,2,302.5,45.537608,-122.668858,MN,STRGHT,PACIFIC HY I-5,9433,6,3127785,DRVR,56,1,PSNGR CAR,f,REAR,INJ,NONE,STOP,NW,241.00,29.00,Mostly Cloudy,CLR,0,37.69,1.76,0.83,8,DRY,DAY,f,f,f
1687950,2016-01-08,15:00:00,FRIDAY,Portland N,2,306.5,45.590647,-122.682033,MN,STRGHT,PACIFIC HY I-5,9412,6,3187235,DRVR,0,9,PSNGR CAR,t,REAR,PDO,NONE,STRGHT,N,1075.00,62.00,Clear,CLR,0,47.41,1.72,0.09,9,DRY,DAY,f,f,f
1687950,2016-01-08,15:00:00,FRIDAY,Portland N,2,306.5,45.590647,-122.682033,MN,STRGHT,PACIFIC HY I-5,9412,6,3187236,DRVR,0,9,PSNGR CAR,f,REAR,PDO,NONE,STOP,N,1075.00,62.00,Clear,CLR,0,47.41,1.72,0.09,9,DRY,DAY,f,f,f
1656773,2016-01-09,17:00:00,SATURDAY,Portland SW,2,299.5,45.497114,-122.673275,MN,STRGHT,PACIFIC HY I-5,9492,6,3127966,DRVR,49,2,PSNGR CAR,f,REAR,INJ,INJC,STRGHT,N,1112.00,61.33,Overcast,CLR,0,43.49,4.42,1,9,DRY,DARK,t,f,f
1656773,2016-01-09,17:00:00,SATURDAY,Portland SW,2,299.5,45.497114,-122.673275,MN,STRGHT,PACIFIC HY I-5,9492,6,3127966,PSNG,49,2,PSNGR CAR,f,REAR,INJ,INJC,STRGHT,N,1112.00,61.33,Overcast,CLR,0,43.49,4.42,1,9,DRY,DARK,t,f,f
1656773,2016-01-09,17:00:00,SATURDAY,Portland SW,2,299.5,45.497114,-122.673275,MN,STRGHT,PACIFIC HY I-5,9492,6,3127965,DRVR,22,1,PSNGR CAR,t,REAR,INJ,NONE,STRGHT,N,1112.00,61.33,Overcast,CLR,0,43.49,4.42,1,9,DRY,DARK,t,f,f
1688136,2016-01-10,16:00:00,SUNDAY,Portland NE,2,302,45.533183,-122.665608,MN,STRGHT,PACIFIC HY I-5,9434,6,3187576,DRVR,0,9,PSNGR CAR,t,REAR,PDO,NONE,STRGHT,NW,1411.00,49.50,Clear,CLR,0,45.34,7.7,0,9,DRY,DAY,f,f,f
1688136,2016-01-10,16:00:00,SUNDAY,Portland NE,2,302,45.533183,-122.665608,MN,STRGHT,PACIFIC HY I-5,9434,6,3187577,DRVR,0,9,PSNGR CAR,f,REAR,PDO,NONE,STRGHT,NW,1411.00,49.50,Clear,CLR,0,45.34,7.7,0,9,DRY,DAY,f,f,f
1657024,2016-01-12,13:00:00,TUESDAY,Portland Bridges,2,300.5,45.507175,-122.670478,MN,BRIDGE,MARQUAM BRIDGE,9453,4,3128430,DRVR,46,1,TRUCK,t,SS-O,INJ,NONE,STRGHT,W,1179.00,22.00,Light Rain,RAIN,0.0525,42.22,4.1,1,3,WET,DAY,f,f,f
1657024,2016-01-12,13:00:00,TUESDAY,Portland Bridges,2,300.5,45.507175,-122.670478,MN,BRIDGE,MARQUAM BRIDGE,9453,4,3128431,DRVR,39,1,SEMI TOW,f,SS-O,INJ,INJC,STRGHT,W,1179.00,22.00,Light Rain,RAIN,0.0525,42.22,4.1,1,3,WET,DAY,f,f,f
1687679,2016-01-13,17:00:00,WEDNESDAY,Portland N,2,304.5,45.566689,-122.6785,MN,STRGHT,PACIFIC HY I-5,9422,6,3186777,DRVR,0,9,PSNGR CAR,f,REAR,PDO,NONE,STRGHT,N,388.00,50.67,Overcast,RAIN,0.0018,44.93,1.5,0.96,9,WET,DLIT,t,t,f
1687679,2016-01-13,17:00:00,WEDNESDAY,Portland N,2,304.5,45.566689,-122.6785,MN,STRGHT,PACIFIC HY I-5,9422,6,3186776,DRVR,0,9,PSNGR CAR,t,REAR,PDO,NONE,STRGHT,N,388.00,50.67,Overcast,RAIN,0.0018,44.93,1.5,0.96,9,WET,DLIT,t,t,f
1688227,2016-01-15,13:00:00,FRIDAY,Portland SE,2,300.5,45.512072,-122.667372,MN,STRGHT,PACIFIC HY I-5,9452,6,3187749,DRVR,0,9,PSNGR CAR,f,REAR,PDO,NONE,STRGHT,N,1233.00,50.33,Overcast,CLR,0,47.69,1.43,1,9,DRY,DAY,f,f,f
1688227,2016-01-15,13:00:00,FRIDAY,Portland SE,2,300.5,45.512072,-122.667372,MN,STRGHT,PACIFIC HY I-5,9452,6,3187748,DRVR,0,9,PSNGR CAR,t,REAR,PDO,NONE,STRGHT,N,1233.00,50.33,Overcast,CLR,0,47.69,1.43,1,9,DRY,DAY,f,f,f
