crashid,date,hour,day,city_section,highwayid,compass,milepost,lat,lon,road_type,road_char,street_name,isect_num,isect_name,lane_quantity,vehicle_id,partic_type,age,gender,vehicle_type,striking_vehicle,collision_type,crash_severity,injury_severity,vehicle_movement,vehicle_direction,weather,road_cond,light_cond,speeding,alcohol,drug
1642319,2016-01-17,17:00:00,SUNDAY,Portland SW,1,N,299.28,45.493892,-122.673636,MN,STRGHT,PACIFIC HY I-5,9481,SB EF HOOD AVE C2,6,3101244,DRVR,56,2,PSNGR CAR,1,PED,FAT,NONE,STRGHT,S,CLD,DRY,DLIT,0,0,0
1642319,2016-01-17,17:00:00,SUNDAY,Portland SW,1,N,299.28,45.493892,-122.673636,MN,STRGHT,PACIFIC HY I-5,9481,SB EF HOOD AVE C2,6,,PED,68,1,,0,PED,FAT,KILL,,,CLD,DRY,DLIT,0,0,0
1659627,2016-04-05,5:00:00,TUESDAY,Portland SE,1,NW,301.1,45.517614,-122.665625,CN,BRIDGE,NB ENFR MORRISON ST,160,SE MOR/BRG MORRISON RMP,1,3133217,DRVR,48,1,MTRCYCLE,1,FIX,FAT,KILL,STRGHT,NW,CLD,DRY,DARK,1,0,0
1664621,2016-06-05,16:00:00,SUNDAY,Portland N,1,S,307.9,45.611722,-122.679153,MN,BRIDGE,PACIFIC HY I-5,9458,SB EX JANTZN BCH C4,6,3142689,DRVR,44,1,PSNGR CAR,1,REAR,FAT,KILL,STRGHT,S,CLR,DRY,DAY,0,0,0
1664621,2016-06-05,16:00:00,SUNDAY,Portland N,1,S,307.9,45.611722,-122.679153,MN,BRIDGE,PACIFIC HY I-5,9458,SB EX JANTZN BCH C4,6,3142690,DRVR,79,2,PSNGR CAR,0,REAR,FAT,INJA,STRGHT,S,CLR,DRY,DAY,0,0,0
1664621,2016-06-05,16:00:00,SUNDAY,Portland N,1,S,307.9,45.611722,-122.679153,MN,BRIDGE,PACIFIC HY I-5,9458,SB EX JANTZN BCH C4,6,3142690,PSNG,54,2,PSNGR CAR,0,REAR,FAT,INJA,STRGHT,S,CLR,DRY,DAY,0,0,0
1664621,2016-06-05,16:00:00,SUNDAY,Portland N,1,S,307.9,45.611722,-122.679153,MN,BRIDGE,PACIFIC HY I-5,9458,SB EX JANTZN BCH C4,6,3142691,DRVR,51,1,SEMI TOW,0,REAR,FAT,NONE,STRGHT,S,CLR,DRY,DAY,0,0,0
1664621,2016-06-05,16:00:00,SUNDAY,Portland N,1,S,307.9,45.611722,-122.679153,MN,BRIDGE,PACIFIC HY I-5,9458,SB EX JANTZN BCH C4,6,3142692,DRVR,46,2,PSNGR CAR,0,REAR,FAT,INJC,STOP,S,CLR,DRY,DAY,0,0,0
1664621,2016-06-05,16:00:00,SUNDAY,Portland N,1,S,307.9,45.611722,-122.679153,MN,BRIDGE,PACIFIC HY I-5,9458,SB EX JANTZN BCH C4,6,3142692,PSNG,14,2,PSNGR CAR,0,REAR,FAT,INJC,STOP,S,CLR,DRY,DAY,0,0,0
1656019,2016-01-02,1:00:00,SATURDAY,Portland NE,1,CN,302.28,45.534369,-122.665719,CN,INTER,NE WEIDLER ST,9434,NB EX WEIDLER C1,,3126578,DRVR,37,1,PSNGR CAR,1,ANGL,INJ,INJC,STRGHT,N,CLR,DRY,DLIT,0,0,0
