crashid,date,hour,day,city_section,highwayid,milepost,lat,lon,road_type,road_desc,street_name,isect_num,lane_quantity,crash_severity,volume,speed,weather1,weather2,precip,temp,wind,cloud,visibility,road_cond,light_cond
1642319,2016-01-17,17:00:00,SUNDAY,Portland SW,1,299.5,45.493892,-122.673636,MN,STRGHT,PACIFIC HY I-5,9481,6,FAT,967.00,55.00,Mostly Cloudy,CLD,0.0008,46.75,1.15,0.71,9,DRY,DLIT
1655870,2016-01-02,14:00:00,SATURDAY,Portland N,1,308,45.616508,-122.676411,MN,BRIDGE,PACIFIC HY I-5,9458,3,INJ,732.00,14.67,Clear,CLR,0,34.15,6.5,0,9,DRY,DAY
1655977,2016-01-02,14:00:00,SATURDAY,Portland N,1,302.5,45.537758,-122.669192,MN,STRGHT,PACIFIC HY I-5,9432,6,INJ,1351.00,50.00,Clear,CLR,0,34.15,6.5,0,9,DRY,DAY
1656019,2016-01-02,01:00:00,SATURDAY,Portland NE,1,302.5,45.534369,-122.665719,CN,INTER,NE WEIDLER ST,9434,,INJ,186.00,58.50,Clear,CLR,0,29.55,7.86,0,9,DRY,DLIT
1656383,2016-01-03,08:00:00,SUNDAY,Portland N,1,303.5,45.546933,-122.678439,MN,CURVE,PACIFIC HY I-5,9430,4,INJ,261.00,43.50,Overcast,SNOW,0,27.02,5.49,1,3,ICE,DAY
1656396,2016-01-04,22:00:00,MONDAY,Portland N,1,303.5,45.549219,-122.678753,MN,STRGHT,PACIFIC HY I-5,9430,8,INJ,377.00,59.00,Partly Cloudy,RAIN,0,33.94,2.6,0.39,7,WET,DLIT
1657252,2016-01-14,05:00:00,THURSDAY,Portland NE,1,301.5,45.525956,-122.665436,MN,STRGHT,PACIFIC HY I-5,9448,6,INJ,436.00,55.50,Drizzle,RAIN,0.0076,42.34,0.26,1,6,WET,DARK
1657503,2016-01-17,07:00:00,SUNDAY,Portland Bridges,1,300.5,45.507844,-122.669319,MN,BRIDGE,MARQUAM BRIDGE,9452,5,INJ,130.00,60.33,Light Rain,RAIN,0.0841,45.28,3.87,1,6,WET,DLIT
1657574,2016-01-26,07:00:00,TUESDAY,Portland N,1,302.5,45.539944,-122.671036,MN,STRGHT,PACIFIC HY I-5,9432,6,INJ,1565.00,39.00,Overcast,RAIN,0.0013,48.1,0.94,1,9,WET,DAY
1657612,2016-01-29,15:00:00,FRIDAY,Portland SE,1,301,45.519494,-122.665922,CN,STRGHT,NB EF MORRISN BR C3,9451,1,INJ,797.00,43.50,Possible Drizzle,RAIN,0.0009,48.94,4.92,1,9,WET,DAY
