crashid,date,hour,day,city_section,highwayid,milepost,lat,lon,road_type,road_desc,street_name,isect_num,lane_quantity,vehicleid,partic_type,age,gender,vehicle_type,striking_vehicle,collision_type,crash_severity,injury_severity,vehicle_movement,vehicle_direction,volume,speed,weather1,weather2,precip,temp,wind,cloud,visibility,road_cond,light_cond,speeding,alcohol,drug
1695603,2016-01-02,00:00:00,SATURDAY,Portland NE,1,302.5,45.534369,-122.665719,CN,INTER,NE WEIDLER ST,9434,,3200721,DRVR,0,9,PSNGR CAR,f,ANGL,PDO,NONE,STRGHT,E,264.00,58.00,Clear,CLR,0,29.94,8.64,0,9,DRY,DAY,f,f,f
1655870,2016-01-02,14:00:00,SATURDAY,Portland N,1,308,45.616508,-122.676411,MN,BRIDGE,PACIFIC HY I-5,9458,3,3126306,DRVR,0,1,PSNGR CAR,f,REAR,INJ,NONE,STRGHT,S,732.00,14.67,Clear,CLR,0,34.15,6.5,0,9,DRY,DAY,f,f,f
1655870,2016-01-02,14:00:00,SATURDAY,Portland N,1,308,45.616508,-122.676411,MN,BRIDGE,PACIFIC HY I-5,9458,3,3126304,DRVR,20,1,PSNGR CAR,t,REAR,INJ,NONE,STRGHT,S,732.00,14.67,Clear,CLR,0,34.15,6.5,0,9,DRY,DAY,f,f,f
1655870,2016-01-02,14:00:00,SATURDAY,Portland N,1,308,45.616508,-122.676411,MN,BRIDGE,PACIFIC HY I-5,9458,3,3126305,DRVR,45,2,PSNGR CAR,f,REAR,INJ,NONE,STOP,S,732.00,14.67,Clear,CLR,0,34.15,6.5,0,9,DRY,DAY,f,f,f
1655870,2016-01-02,14:00:00,SATURDAY,Portland N,1,308,45.616508,-122.676411,MN,BRIDGE,PACIFIC HY I-5,9458,3,3126305,PSNG,18,2,PSNGR CAR,f,REAR,INJ,INJC,STOP,S,732.00,14.67,Clear,CLR,0,34.15,6.5,0,9,DRY,DAY,f,f,f
1655870,2016-01-02,14:00:00,SATURDAY,Portland N,1,308,45.616508,-122.676411,MN,BRIDGE,PACIFIC HY I-5,9458,3,3126308,DRVR,25,1,PSNGR CAR,f,REAR,INJ,NONE,STRGHT,S,732.00,14.67,Clear,CLR,0,34.15,6.5,0,9,DRY,DAY,f,f,f
1655870,2016-01-02,14:00:00,SATURDAY,Portland N,1,308,45.616508,-122.676411,MN,BRIDGE,PACIFIC HY I-5,9458,3,3126307,PSNG,17,2,PSNGR CAR,f,REAR,INJ,INJC,STRGHT,S,732.00,14.67,Clear,CLR,0,34.15,6.5,0,9,DRY,DAY,f,f,f
1655870,2016-01-02,14:00:00,SATURDAY,Portland N,1,308,45.616508,-122.676411,MN,BRIDGE,PACIFIC HY I-5,9458,3,3126307,PSNG,19,2,PSNGR CAR,f,REAR,INJ,INJB,STRGHT,S,732.00,14.67,Clear,CLR,0,34.15,6.5,0,9,DRY,DAY,f,f,f
1655870,2016-01-02,14:00:00,SATURDAY,Portland N,1,308,45.616508,-122.676411,MN,BRIDGE,PACIFIC HY I-5,9458,3,3126307,PSNG,13,1,PSNGR CAR,f,REAR,INJ,INJC,STRGHT,S,732.00,14.67,Clear,CLR,0,34.15,6.5,0,9,DRY,DAY,f,f,f
1655870,2016-01-02,14:00:00,SATURDAY,Portland N,1,308,45.616508,-122.676411,MN,BRIDGE,PACIFIC HY I-5,9458,3,3126307,DRVR,19,2,PSNGR CAR,f,REAR,INJ,INJC,STRGHT,S,732.00,14.67,Clear,CLR,0,34.15,6.5,0,9,DRY,DAY,f,f,f
1673050,2016-01-02,15:00:00,SATURDAY,Portland N,1,308,45.616247,-122.676564,MN,BRIDGE,PACIFIC HY I-5,9458,3,3158567,DRVR,0,9,PSNGR CAR,f,REAR,PDO,NONE,STOP,S,935.00,17.33,Clear,CLR,0,33.24,7.65,0,9,ICE,DAY,t,f,f
1673050,2016-01-02,15:00:00,SATURDAY,Portland N,1,308,45.616247,-122.676564,MN,BRIDGE,PACIFIC HY I-5,9458,3,3158566,DRVR,0,9,PSNGR CAR,t,REAR,PDO,NONE,STRGHT,S,935.00,17.33,Clear,CLR,0,33.24,7.65,0,9,ICE,DAY,t,f,f
1687586,2016-01-06,09:00:00,WEDNESDAY,Portland N,1,305,45.570564,-122.678714,MN,STRGHT,PACIFIC HY I-5,9420,4,3186608,DRVR,0,9,UNKNOWN,f,REAR,PDO,NONE,STOP,S,959.00,51.50,Clear,RAIN,0,37.01,5.06,0.03,6,WET,DAY,f,f,f
1687586,2016-01-06,09:00:00,WEDNESDAY,Portland N,1,305,45.570564,-122.678714,MN,STRGHT,PACIFIC HY I-5,9420,4,3186607,DRVR,0,9,PSNGR CAR,t,REAR,PDO,NONE,STRGHT,S,959.00,51.50,Clear,RAIN,0,37.01,5.06,0.03,6,WET,DAY,f,f,f
1688378,2016-01-12,14:00:00,TUESDAY,Portland N,1,305,45.573639,-122.678733,MN,STRGHT,PACIFIC HY I-5,9420,4,3188033,DRVR,0,9,PSNGR CAR,t,SS-O,PDO,NONE,STRGHT,S,1333.00,40.00,Light Rain,RAIN,0.0486,42.27,4.07,1,5,WET,DAY,f,f,f
1688378,2016-01-12,14:00:00,TUESDAY,Portland N,1,305,45.573639,-122.678733,MN,STRGHT,PACIFIC HY I-5,9420,4,3188034,DRVR,0,9,PSNGR CAR,f,SS-O,PDO,NONE,STRGHT,S,1333.00,40.00,Light Rain,RAIN,0.0486,42.27,4.07,1,5,WET,DAY,f,f,f
1687245,2016-01-12,16:00:00,TUESDAY,Portland N,1,304,45.553167,-122.678753,MN,STRGHT,PACIFIC HY I-5,9429,6,3186062,DRVR,0,9,PSNGR CAR,f,REAR,PDO,NONE,STOP,S,507.00,8.00,Light Rain,RAIN,0.0861,42.17,4.27,1,5,WET,DAY,f,f,f
1687245,2016-01-12,16:00:00,TUESDAY,Portland N,1,304,45.553167,-122.678753,MN,STRGHT,PACIFIC HY I-5,9429,6,3186061,DRVR,0,9,PSNGR CAR,t,REAR,PDO,NONE,STRGHT,S,507.00,8.00,Light Rain,RAIN,0.0861,42.17,4.27,1,5,WET,DAY,f,f,f
1687700,2016-01-13,06:00:00,WEDNESDAY,Portland N,1,305,45.572872,-122.678744,MN,STRGHT,PACIFIC HY I-5,9420,6,3186812,DRVR,0,9,PSNGR CAR,f,REAR,PDO,NONE,STOP,S,882.00,53.50,Light Rain,RAIN,0.0409,45.29,1.41,1,8,WET,DLIT,f,f,f
1687700,2016-01-13,06:00:00,WEDNESDAY,Portland N,1,305,45.572872,-122.678744,MN,STRGHT,PACIFIC HY I-5,9420,6,3186811,DRVR,0,9,PSNGR CAR,t,REAR,PDO,NONE,STRGHT,S,882.00,53.50,Light Rain,RAIN,0.0409,45.29,1.41,1,8,WET,DLIT,f,f,f
1657252,2016-01-14,05:00:00,THURSDAY,Portland NE,1,301.5,45.525956,-122.665436,MN,STRGHT,PACIFIC HY I-5,9448,6,3128846,DRVR,45,2,PSNGR CAR,t,SS-O,INJ,INJC,STRGHT,S,436.00,55.50,Drizzle,RAIN,0.0076,42.34,0.26,1,6,WET,DARK,f,f,f
1657252,2016-01-14,05:00:00,THURSDAY,Portland NE,1,301.5,45.525956,-122.665436,MN,STRGHT,PACIFIC HY I-5,9448,6,3128847,DRVR,59,1,SEMI TOW,f,SS-O,INJ,NONE,STRGHT,S,436.00,55.50,Drizzle,RAIN,0.0076,42.34,0.26,1,6,WET,DARK,f,f,f
1683342,2016-01-15,05:00:00,FRIDAY,Portland N,1,305,45.573064,-122.678742,MN,STRGHT,PACIFIC HY I-5,9420,4,3178493,DRVR,35,2,PSNGR CAR,t,FIX,INJ,INJC,STRGHT,S,542.00,56.50,Overcast,RAIN,0.001,42.29,0.92,0.89,9,WET,DLIT,f,f,f
1688280,2016-01-16,14:00:00,SATURDAY,Portland N,1,305,45.571664,-122.678733,MN,STRGHT,PACIFIC HY I-5,9420,6,3187850,DRVR,0,9,PSNGR CAR,t,REAR,PDO,NONE,STRGHT,S,1008.00,31.50,Light Rain,RAIN,0.034,49.59,6.04,0.96,9,WET,DAY,f,f,f
1688280,2016-01-16,14:00:00,SATURDAY,Portland N,1,305,45.571664,-122.678733,MN,STRGHT,PACIFIC HY I-5,9420,6,3187851,DRVR,0,9,PSNGR CAR,f,REAR,PDO,NONE,STRGHT,S,1008.00,31.50,Light Rain,RAIN,0.034,49.59,6.04,0.96,9,WET,DAY,f,f,f
1642319,2016-01-17,17:00:00,SUNDAY,Portland SW,1,299.5,45.493892,-122.673636,MN,STRGHT,PACIFIC HY I-5,9481,6,3101244,DRVR,56,2,PSNGR CAR,t,PED,FAT,NONE,STRGHT,S,967.00,55.00,Mostly Cloudy,CLD,0.0008,46.75,1.15,0.71,9,DRY,DLIT,f,f,f
1642319,2016-01-17,17:00:00,SUNDAY,Portland SW,1,299.5,45.493892,-122.673636,MN,STRGHT,PACIFIC HY I-5,9481,6,,PED,68,1,,f,PED,FAT,KILL,,,967.00,55.00,Mostly Cloudy,CLD,0.0008,46.75,1.15,0.71,9,DRY,DLIT,f,f,f
