"Highway 001 ALL ROAD TYPES, MP 299 to 308.63, Both Add and Non-Add mileage, 01/01/2016 to 12/31/2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Date,Day,Hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRASH_ID,SER_NO,INVSTG_AGY_SHORT_DESC,CRASH_SPEED_INVLV_FLG,ALCHL_INVLV_FLG,DRUG_INVLV_FLG,MJ_INVLV_FLG,SCHL_ZONE_IND,WRK_ZONE_IND,LANE RDWY DPRT CRASH FLG,UNLOCT FLG,CRASH_DT,CRASH_WK_DAY_CD,CRASH_HR_SHORT_DESC,CNTY_NM,CITY_SECT_NM,URB_AREA_SHORT_NM,HWY_NO,HWY_MED_NM,RDWY_NO,FC_CD,HWY_COMPNT_CD,HWY_COMPNT_SHORT_DESC,MLGE_TYP_CD,RD_CON_NO,LRS VAL,MP_NO,ST_NO,ST_NM,ISECT_ST_NO,ISECT_ST_NM,RD_CHAR_CD,RD_CHAR_SHORT_DESC,CMPSS_DIR_CD,CMPSS_DIR_FROM_CD,CMPSS_DIR_SHORT_DESC,IMPCT_LOC_CD,ISECT_TYP_SHORT_DESC,MEDN_TYP_SHORT_DESC,TURNG_LEG_QTY,LN_QTY,ISECT_REL_FLG,TRAF_CNTL_DEVICE_SHORT_DESC,OFF_RDWY_FLG,RNDABT_FLG,DRVWY_REL_FLG,WTHR_COND_SHORT_DESC,RD_SURF_SHORT_DESC,LGT_COND_SHORT_DESC,CRASH_TYP_SHORT_DESC,COLLIS_TYP_SHORT_DESC,CRASH_SVRTY_SHORT_DESC,CRASH_EVNT_1_CD,CRASH_EVNT_2_CD,CRASH_EVNT_3_CD,CRASH_CAUSE_1_CD,CRASH_CAUSE_2_CD,CRASH_CAUSE_3_CD,LAT DEG NO,LAT MINUTE NO,LAT SEC NO,LONGTD DEG NO,LONGTD MINUTE NO,LONGTD SEC NO,VHCL_ID,STRIKG_VHCL_FLG,VHCL_CODED_SEQ_NO,VHCL_TYP_SHORT_DESC,VHCL_USE_SHORT_DESC,TRLR_QTY,VHCL_OWNSHP_SHORT_DESC,VHCL_MVMNT_SHORT_DESC,VHCL_CMPSS_DIR_FROM_SHORT_DESC,VHCL_CMPSS_DIR_TO_SHORT_DESC,VHCL_ACTN_CD,VHCL_EVNT_1_CD,VHCL_EVNT_2_CD,VHCL_EVNT_3_CD,VHCL_CAUSE_1_CD,VHCL_CAUSE_2_CD,VHCL_CAUSE_3_CD,PARTIC_ID,STRIKG_PARTIC_FLG,PARTIC_VHCL_SEQ_NO,PARTIC_TYP_CD,PARTIC_TYP_SHORT_DESC,PARTIC_MVMNT_SHORT_DESC,PARTIC_CMPSS_DIR_FROM_SHORT_DESC,PARTIC_CMPSS_DIR_TO_SHORT_DESC,INJ_SVRTY_SHORT_DESC,AGE_VAL,SEX_CD,DRVR_LIC_STAT_SHORT_DESC,DRVR_RES_SHORT_DESC,PARTIC_ACTN_CD,NON_MOTRST_LOC_SHORT_DESC,PARTIC_ERR_1_CD,PARTIC_ERR_2_CD,PARTIC_ERR_3_CD,PARTIC_EVNT_1_CD,PARTIC_EVNT_2_CD,PARTIC_EVNT_3_CD,PARTIC_CAUSE_1_CD,PARTIC_CAUSE_2_CD,PARTIC_CAUSE_3_CD,TOTAL_CRASHES,TOTAL_ROWS
1655977,41,NO RPT,0,0,0,0,0,0,N,FALSE,1/2/2016,7,2P,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,1,11,0,MN,0,,000100100S00,302.54,322,PACIFIC HY I-5,9432,SB EX VANCOUVER C3,3,STRGHT,1,,N,7,,RSDMD,,6,0,MEDIAN BAR,0,0,0,CLR,DRY,DAY,S-STRGHT,SS-O,INJ,44,,,13,,,45,32,15.93,-122,40,9.09,3126496,1,1,UNKNOWN,UNKN,,UNKN,STRGHT,N,S,0,,,,0,,,3565319,0,1,1,DRVR,,,,NONE,0,9,UNK,UNK,0,,45,,,,,,13,,,717,1693
1655977,41,NO RPT,0,0,0,0,0,0,N,FALSE,1/2/2016,7,2P,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,1,11,0,MN,0,,000100100S00,302.54,322,PACIFIC HY I-5,9432,SB EX VANCOUVER C3,3,STRGHT,1,,N,7,,RSDMD,,6,0,MEDIAN BAR,0,0,0,CLR,DRY,DAY,S-STRGHT,SS-O,INJ,44,,,13,,,45,32,15.93,-122,40,9.09,3126497,0,2,PSNGR CAR,NONE,,PRVTE,STRGHT,N,S,0,44,13,,0,,,3565320,0,1,1,DRVR,,,,NONE,20,1,OR-Y,OR<25,0,,0,,,,,,0,,,717,1693
1655977,41,NO RPT,0,0,0,0,0,0,N,FALSE,1/2/2016,7,2P,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,1,11,0,MN,0,,000100100S00,302.54,322,PACIFIC HY I-5,9432,SB EX VANCOUVER C3,3,STRGHT,1,,N,7,,RSDMD,,6,0,MEDIAN BAR,0,0,0,CLR,DRY,DAY,S-STRGHT,SS-O,INJ,44,,,13,,,45,32,15.93,-122,40,9.09,3126498,0,3,PSNGR CAR,NONE,,PRVTE,STRGHT,N,S,0,,,,0,,,3565321,0,1,1,DRVR,,,,INJC,30,1,OR-Y,OR<25,0,,0,,,,,,0,,,717,1693
1655977,41,NO RPT,0,0,0,0,0,0,N,FALSE,1/2/2016,7,2P,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,1,11,0,MN,0,,000100100S00,302.54,322,PACIFIC HY I-5,9432,SB EX VANCOUVER C3,3,STRGHT,1,,N,7,,RSDMD,,6,0,MEDIAN BAR,0,0,0,CLR,DRY,DAY,S-STRGHT,SS-O,INJ,44,,,13,,,45,32,15.93,-122,40,9.09,3126498,0,3,PSNGR CAR,NONE,,PRVTE,STRGHT,N,S,0,,,,0,,,3565322,0,2,2,PSNG,,,,INJC,31,2,,,0,,0,,,,,,0,,,717,1693
1673050,23,NO RPT,1,0,0,0,0,0,N,FALSE,1/2/2016,7,3P,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,1,11,0,MN,0,,000100100S00,308.24,322,PACIFIC HY I-5,9458,SB EX JANTZN BCH C4,8,BRIDGE,1,,N,5,,NONE,,3,0,UNKNOWN,0,0,0,CLR,ICE,DAY,S-1STOP,REAR,PDO,124,,,1,29,,45,36,58.49,-122,40,35.63,3158566,1,1,PSNGR CAR,NONE,9,N/A,STRGHT,N,S,0,,,,0,,,3605502,0,1,1,DRVR,,,,NONE,0,9,UNK,UNK,0,,0,,,,,,0,,,717,1693
1673050,23,NO RPT,1,0,0,0,0,0,N,FALSE,1/2/2016,7,3P,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,1,11,0,MN,0,,000100100S00,308.24,322,PACIFIC HY I-5,9458,SB EX JANTZN BCH C4,8,BRIDGE,1,,N,5,,NONE,,3,0,UNKNOWN,0,0,0,CLR,ICE,DAY,S-1STOP,REAR,PDO,124,,,1,29,,45,36,58.49,-122,40,35.63,3158567,0,2,PSNGR CAR,NONE,9,N/A,STOP,N,S,11,,,,0,,,3605503,0,1,1,DRVR,,,,NONE,0,9,UNK,UNK,0,,0,,,,,,0,,,717,1693
1655870,19,NO RPT,0,0,0,0,0,0,N,FALSE,1/2/2016,7,2P,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,1,11,0,MN,0,,000100100S00,308.26,322,PACIFIC HY I-5,9458,SB EX JANTZN BCH C4,8,BRIDGE,1,,N,8,,RSDMD,,3,0,ONE-WAY,0,0,0,CLR,DRY,DAY,S-1STOP,REAR,INJ,13,131,,29,,,45,36,59.43,-122,40,35.08,3126304,1,1,PSNGR CAR,NONE,,PRVTE,STRGHT,N,S,0,13,,,0,,,3565100,0,1,1,DRVR,,,,NONE,20,1,OTH-Y,N-RES,0,,26,,,131,,,29,,,717,1693
1655870,19,NO RPT,0,0,0,0,0,0,N,FALSE,1/2/2016,7,2P,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,1,11,0,MN,0,,000100100S00,308.26,322,PACIFIC HY I-5,9458,SB EX JANTZN BCH C4,8,BRIDGE,1,,N,8,,RSDMD,,3,0,ONE-WAY,0,0,0,CLR,DRY,DAY,S-1STOP,REAR,INJ,13,131,,29,,,45,36,59.43,-122,40,35.08,3126305,0,2,PSNGR CAR,NONE,,PRVTE,STOP,N,S,11,,,,0,,,3565101,0,1,1,DRVR,,,,NONE,45,2,OTH-Y,N-RES,0,,0,,,,,,0,,,717,1693
1655870,19,NO RPT,0,0,0,0,0,0,N,FALSE,1/2/2016,7,2P,Multnomah,Portland N,PORTLAND UA,1,PACIFIC,1,11,0,MN,0,,000100100S00,308.26,322,PACIFIC HY I-5,9458,SB EX JANTZN BCH C4,8,BRIDGE,1,,N,8,,RSDMD,,3,0,ONE-WAY,0,0,0,CLR,DRY,DAY,S-1STOP,REAR,INJ,13,131,,29,,,45,36,59.43,-122,40,35.08,3126305,0,2,PSNGR CAR,NONE,,PRVTE,STOP,N,S,11,,,,0,,,3565102,0,2,2,PSNG,,,,INJC,18,2,,,0,,0,,,,,,0,,,717,1693
