highwayid,stationid,detectorid,lanenumber,agency_lane,locationtext,milepost
2,1108,100809,3,1,Spring Garden (2R305) on SB I-5,296.26
2,3174,101686,3,1,N. Columbia off-ramp (2DS080) @ SB I-5 MP305.9,305.9
2,3174,101687,2,2,N. Columbia off-ramp (2DS080) @ SB I-5 MP305.9,305.9
2,3174,101688,1,3,N. Columbia off-ramp (2DS080) @ SB I-5 MP305.9,305.9
2,10318,101303,4,1,Carman (2DS072) @ SB I-5 MP291.48,291.48
2,10318,101304,3,2,Carman (2DS072) @ SB I-5 MP291.48,291.48
2,10318,101305,2,3,Carman (2DS072) @ SB I-5 MP291.48,291.48
2,10318,101306,1,4,Carman (2DS072) @ SB I-5 MP291.48,291.48
2,3115,101065,3,1,OR 99W (2DS053) @ SB I-5 MP294.05,294.05
2,3115,101066,2,2,OR 99W (2DS053) @ SB I-5 MP294.05,294.05
2,3115,101067,1,3,OR 99W (2DS053) @ SB I-5 MP294.05,294.05
2,3173,101031,3,1,N. Lombard off-ramp (2DS012) @ SB I-5 MP305.6,305.6
2,3173,101032,2,2,N. Lombard off-ramp (2DS012) @ SB I-5 MP305.6,305.6
2,3173,101033,1,3,N. Lombard off-ramp (2DS012) @ SB I-5 MP305.6,305.6
2,3172,101026,2,1,SB I-5 (2DS011) @ I-405 MP303.47,303.47
2,3172,101027,1,2,SB I-5 (2DS011) @ I-405 MP303.47,303.47
2,1026,100842,3,1,Jantzen Beach (2R009) to SB I-5,307.9
2,1026,100843,2,2,Jantzen Beach (2R009) to SB I-5,307.9
2,1026,100844,1,3,Jantzen Beach (2R009) to SB I-5,307.9
2,1027,100839,3,1,Marine Dr/99E (2R010) to SB I-5,307.35
2,1027,100840,2,2,Marine Dr/99E (2R010) to SB I-5,307.35
2,1027,100841,1,3,Marine Dr/99E (2R010) to SB I-5,307.35
2,1147,100836,3,1,Victory (2R021) to SB I-5,306.6
2,1147,100837,2,2,Victory (2R021) to SB I-5,306.6
2,1147,100838,1,3,Victory (2R021) to SB I-5,306.6
2,1028,100833,3,1,Columbia (2R011) to SB I-5,305.97
